description,category
Uncollected garbage creating foul smell.,Sanitation Department
Speed breakers are not marked properly and vehicles are slipping. please resolve urgently.,Road Department
Roof leakage worsening due to heavy rain.,Building Department
Street lights have been off for the past week.,Electric Department
No water supply since morning.,Water Supply Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
"Roadside barrier broken, safety concern. please resolve urgently.",Road Department
Uncollected garbage creating foul smell.,Sanitation Department
Road divider damaged in an accident.,Road Department
Road full of potholes causing damage to vehicles.,Road Department
power outage since early morning due to faulty wires. please resolve urgently.,Electric Department
Drain  clogged  and  water  stagnating.  please  resolve  urgently.,Sanitation Department
Faded lane markings causing confusion.,Road Department
drain clogged and water stagnating.,Sanitation Department
Manhole cover missing and cars getting stuck.,Road Department
Waste accumulation causing mosquito breeding.,Sanitation Department
street lights have been off for the past week.,Electric Department
Sewer line blocked causing overflow.,Sewerage Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
open  sewer  line  giving  foul  smell.,Sewerage Department
Transformer burst causing power outage. please resolve urgently.,Electric Department
Staircase railing loose and unsafe.,Building Department
"Street light bulb fused, area dark at night.",Electric Department
Waste blocking the drainage system.,Sanitation Department
Waste blocking the drainage system.,Sanitation Department
open sewer line giving foul smell.,Sewerage Department
Loose electric wires hanging near the road.,Electric Department
Transformer burst causing power outage.,Electric Department
Road full of potholes causing damage to vehicles. please resolve urgently.,Road Department
Pillar has developed major cracks after rain.,Building Department
Ceiling plaster falling off in the hallway.,Building Department
Pillar has developed major cracks after rain.,Building Department
Garbage has not been collected for several days.,Sanitation Department
wall near staircase damaged and unstable.,Building Department
Wall near staircase damaged and unstable.,Building Department
Garbage has not been collected for several days.,Sanitation Department
Electricity supply unstable with voltage drops.,Electric Department
Drainage water overflowing in the street.,Sanitation Department
underground sewerage pipe damaged.,Sewerage Department
cracks appearing on the walls of the building.,Building Department
Open sewer line giving foul smell.,Sewerage Department
drainage water overflowing in the street.,Sanitation Department
manhole cover missing and cars getting stuck.,Road Department
staircase railing loose and unsafe. please resolve urgently.,Building Department
Open sewer line giving foul smell.,Sewerage Department
drain overflows every time it rains.,Sanitation Department
Current pole damaged and sparking. please resolve urgently.,Electric Department
dustbins overflowing and attracting flies.,Sanitation Department
footpath broken and unsafe for walking.,Road Department
Dustbins overflowing and attracting flies.,Sanitation Department
Transformer burst causing power outage.,Electric Department
Road divider damaged in an accident.,Road Department
uncollected garbage creating foul smell.,Sanitation Department
Ceiling plaster falling off in the hallway.,Building Department
Open sewer line giving foul smell.,Sewerage Department
"Street light bulb fused, area dark at night.",Electric Department
Roof leakage worsening due to heavy rain.,Building Department
Road surface cracked and uneven.,Road Department
Sewer line blocked causing overflow.,Sewerage Department
current pole damaged and sparking.,Electric Department
Waste blocking the drainage system.,Sanitation Department
Main pipeline leak creating swamp.,Water Supply Department
Manhole overflowing with sewage water.,Sewerage Department
"Street light bulb fused, area dark at night.",Electric Department
Road divider damaged in an accident.,Road Department
No water supply since morning. please resolve urgently.,Water Supply Department
Sewer line blocked causing overflow.,Sewerage Department
dirty sewer water entering shops after rain.,Sewerage Department
"electric  cables  exposed,  risky  for  pedestrians.",Electric Department
Waste accumulation causing mosquito breeding. please resolve urgently.,Sanitation Department
Pipeline burst causing water wastage. please resolve urgently.,Water Supply Department
Loose electric wires hanging near the road.,Electric Department
Pipeline damaged during road work.,Water Supply Department
Sewer pipeline clogged completely.,Sewerage Department
"Speed bump too high, damaging cars.",Road Department
dirty sewer water entering shops after rain.,Sewerage Department
Ceiling plaster falling off in the hallway.,Building Department
Drainage water overflowing in the street.,Sanitation Department
Manhole overflowing with sewage water.,Sewerage Department
Railing on the staircase is broken and dangerous.,Building Department
Sewage water stagnating near road.,Sewerage Department
drainage water entering houses after rain.,Sanitation Department
Sewage leaking into nearby houses.,Sewerage Department
Transformer burst causing power outage.,Electric Department
