description,category
"electric transformer making loud noise, possible fire risk.",Electric Department
New house construction encroaching on public property.,Building Department
The road near the hospital has large potholes.,Road Department
Road damaged badly due to heavy traffic and rain.,Road Department
"sewerage water mixing with rainwater, causing pollution.",Sewerage Department
Sewer  pipeline  damaged  causing  leakages.,Sewerage Department
No water supply in the colony since morning.,Water Supply Department
No water supply in the colony since morning.,Water Supply Department
The ceiling in our apartment is about to collapse.,Building Department
Manhole overflowing with sewage water on street.,Sewerage Department
Blocked sewer line needs urgent cleaning. please resolve this issue soon.,Sewerage Department
"drinking water contaminated, smells bad.",Water Supply Department
Building structure showing deep cracks after heavy rain.,Building Department
Manhole  overflowing  with  sewage  water  on  street.,Sewerage Department
sewage leaking from pipeline near footpath.,Sewerage Department
Road repair work incomplete for several weeks.,Road Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
Sewage backflow inside homes during rainfall.,Sewerage Department
"Drinking water contaminated, smells bad.",Water Supply Department
No water supply in the colony since morning.,Water Supply Department
Cracks have appeared on the wall of the community building.,Building Department
The garbage truck hasn’t come for three days.,Sanitation Department
Sewer  line  overflowing  and  spreading  dirty  water.,Sewerage Department
Low water pressure in our area since yesterday. please resolve this issue soon.,Water Supply Department
Damaged footpath blocking safe walking area.,Road Department
"Sewerage water mixing with rainwater, causing pollution. please resolve this issue soon.",Sewerage Department
The drainage is overflowing due to heavy rain.,Sanitation Department
Cracks have appeared on the wall of the community building.,Building Department
new house construction encroaching on public property.,Building Department
Sewage leaking from pipeline near footpath.,Sewerage Department
No water in tank even after scheduled supply time.,Water Supply Department
Transformer burst causing short circuit and power failure.,Electric Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
Drainage line blocked with plastic and debris. please resolve this issue soon.,Sanitation Department
Road damaged badly due to heavy traffic and rain.,Road Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
"House foundation damaged, wall tilting slightly. please resolve this issue soon.",Building Department
Damaged footpath blocking safe walking area.,Road Department
"Building wall broken after storm, debris blocking entrance.",Building Department
water coming muddy and not suitable for drinking.,Water Supply Department
New house construction encroaching on public property.,Building Department
Road repair work incomplete for several weeks.,Road Department
Potholes  filled  with  water  causing  vehicle  skidding.,Road Department
"Building wall broken after storm, debris blocking entrance.",Building Department
Road condition is good after repair.,Road Department
The drainage is overflowing due to heavy rain.,Sanitation Department
Holes on road making it dangerous for vehicles.,Road Department
Electric wires snapped and lying on the road.,Electric Department
"Building  wall  broken  after  storm,  debris  blocking  entrance.",Building Department
Road  repair  work  incomplete  for  several  weeks.,Road Department
The road near the hospital has large potholes.,Road Department
The roof of the building is leaking during rainfall.,Building Department
No water in tank even after scheduled supply time.,Water Supply Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Wires hanging dangerously near the electric pole.,Electric Department
Water supply disrupted due to pump malfunction.,Water Supply Department
Building structure showing deep cracks after heavy rain. please resolve this issue soon.,Building Department
